,Airport_code,Airport_name,Airport_address,Airport_description
869,sba,Santa Barbara Municipal Airport,Santa Barbara CA USA,"Built on a former cow pasture, Santa Barbara Municipal gets its airport code from its home in the Santa Barbara/Goleta metropolitan area."
870,sbd,San Bernardino International Airport,San Bernardino CA USA,San Bernardino International is located on the former site of Norton Air Force Base and serves the city of San Bernardino.
871,sbn,South Bend International Airport,South Bend IN USA,"Opened in 1933 as Bendix Field, South Bend International was once called Michiana Regional (a combination of Michigan and Indiana). Its airport code honors its home in South Bend."
872,sbp,San Luis Obispo County Regional Airport,San Luis Obispo CA USA,"Opened in 1939 by Earl Thomson, San Luis Obispo County Regional gets its airport code from its home in San Luis Obispo."
873,sce,University Park Airport,State College PA USA,"Built in the 1950s, University Park Airport is now owned by Penn State University. Its airport code comes from its home near the town of State College."
874,scl,Aeropuerto Internacional Comodoro Arturo Merino Benítez,Santiago Chile,"Often called “Pudahuel Airport”, Comodoro Arturo Merino Benítez International honors the founder of the Chilean Air Force. Its airport code honors its home in Santiago, Chile."
875,sco,International Airport Aktau,Aktau Kazakhstan,"Aktau Airport began operations in 1993 and now serves the city of Aktau. Its three-letter code comes from Aktau’s former name, Shevchenko. The airport was previously named Shevchenko-Central."
876,scq,Aeroporto Internacional de Santiago de Compostela,Santiago de Compostela Spain,"Santiago de Compostela Airport’s first flight took off in 1937. Its airport code comes from its home near Santiago de Compostela, plus a ‘Q’ as a filler letter."
877,sct,Socotra Airport,Socotra Yemen,"Socotra Airport is Yemen’s most remote airport, serving the city of Hadibu on the island of Socotra."
878,sdf,Louisville International Airport,Louisville KY USA,"Before being renamed in 1995, Louisville International was known as Standiford Field, honoring former state senator Elisha David Standiford."
879,sdq,Aeropuerto Internacional Las Américas,Santo Domingo Dominican Republic,"Opened in 1959, Las Américas International is located in Punta Caucedo. Its airport code comes from the capital city of Santo Domingo, plus a helpful ‘Q’ as a filler letter."
880,sdr,Aeropuerto Seve Ballesteros - Santander,Santander Spain,"Started as an airfield in 1953, Santander Airport is named after professional golfer Seve Ballesteros and serves the community of Santander."
881,sdu,Aeroporto Santos Dumont,Rio de Janeiro RJ Brazil,"Originally known as Calabouço Airport, Santos Dumont Airport was inaugurated in 1936 and was named after Brazilian aviator Alberto Santos-Dumont."
882,sea,Seattle–Tacoma International Airport,Seattle WA USA,"“Sea-Tac” was once renamed after U.S. Senator Henry M. Jackson for a short while, but Seattle and Tacoma residents voted to keep their cities in the airport’s name."
883,sen,London Southend Airport,London UK,"Serving London and its surrounding areas, London Southend Airport is situated between the towns of Southend and Rochford."
884,sex,Sembach Kaserne,Sembach Germany,"Sembach Kaserne is a United States Army installation in Sembach, Germany. Its airport code comes from its former name as Sembach Annex."
885,sfa,Aéroport International de Sfax-Thyna,Sfax Tunisia,"Used as a military airfield during World War II, Sfax-Thyna International gets its airport code from the nearby city of Sfax."
886,sfj,Søndre Strømfjord Lufthavn,Kangerlussuaq Greenland Denmark,Kangerlussuaq Airport is a former U.S. military base and today serves as the international gateway for the majority of travel to and from Greenland. Its former name was Sondrestromfjord Air Base.
887,sfn,Aeropuerto de Santa Fe - Sauce Viejo,Santa Fe Argentina,Sauce Viejo Airport gets its airport code from rearranged letters from the city name of Santa Fe.
888,sfo,San Francisco International Airport,San Francisco CA USA,"Before the 1930’s, airports had two-letter codes. When codes switched to three letters, many added the letter ‘X’ to the end. San Francisco instead used its last letter ‘O’."
889,sgc,Surgut International Airport,Surgut Russia,"Surgut International, also known as Surgut North, gets its three-letter airport code from its home in Surgut City."
890,sgf,Springfield–Branson National Airport,Springfield MO USA,"Opened as Springfield–Greene County Airport in July 1945, Springfield–Branson National is a public airport and has non-stop service to twelve U.S. cities."
891,sgn,Sân bay Quốc tế Tân Sơn Nhất,Ho Chi Minh City Vietnam,"Tan Son Nhat International is named for the township in which it’s located, but serves Ho Chi Minh City. Its airport code comes from Ho Chi Minh City’s former name: Saigon."
892,sgu,St. George Regional Airport,St. George UT USA,"Opened in 2011, St. George Regional replaced the landlocked St. George Municipal Airport. Its three-letter code honors the city of St. George, Utah."
893,sgy,Skagway Airport,Skagway AK USA,"Skagway, originally Skagua in Tlingit for “windy place”, was the largest city in Alaska by 1898 because of the Yukon gold rush. Its airport’s code honors its home in Skagway."
894,sha,Shanghai Hongqiao International Airport,Shanghai China,"Shanghai Hongqiao International was the first airport built in Shanghai. Its airport code makes sense as Shanghai Hongqiao Airport, but comes from the city of SHAnghai."
895,shd,Shenandoah Valley Regional Airport,Staunton VA USA,"Located in Weyers Cave near the city of Staunton, Shenandoah Valley Regional is a general aviation airport and serves one commercial airliner."
896,she,Shenyang Taoxian International Airport,Shenyang China,"Shenyang Taoxian International serves Shenyang, capital of Liaoning province."
897,shv,Shreveport Regional Airport,Shreveport LA USA,"Operational since 1931, Shreveport Regional Airport’s code honors its home in the city of Shreveport."
898,sid,Aeroporto Internacional Amílcar Cabral,Espargos Cape Verde,"Built in 1939, Amílcar Cabral International is named after a Cape Verdean revoluntionary leader. It serves the city of Espargos, but gets its airport code from its home on Sal Island."
899,sin,Lapangan Terbang Changi Singapura,Singapore Singapore,"Often called just Changi Airport, Singapore’s main airport was named Skytrax “Best Airport in the World” three years in a row."
900,sip,Simferopol International Airport,Simferopol Russia,"Since the annexation of Crimea by Russia, the Simferopol International Airport only operates Russian domestic flights, despite the name. Under Russian control, it has been renovated, two new terminals were opened, and passenger traffic has seen substantial increase."
901,sir,Aéroport de Sion,Sion Switzerland,Sion Airport gets its three-letter airport code from its home city of Sion and the Rhone Valley where it’s located.
902,sjc,Norman Y. Mineta San Jose International Airport,San Jose CA USA,"In 2001, San Jose International was renamed to honor former mayor Norman Mineta. Its airport code honors its home in San Jose, California."
903,sjd,Aeropuerto Internacional de Los Cabos,San José del Cabo BS Mexico,"Los Cabos International is most known for serving the resort city of Cabo San Lucas, but gets its airport code from its home in the city of San José del Cabo."
904,sjj,Sarajevo International Airport,Sarajevo Bosnia and Herzegovina,"Opened in 1969, Sarajevo International is located in the suburb of Butmir and is often called Butmir Airport. Its airport code comes from the capital city of Sarajevo, with a second ‘J’ as a filler letter."
905,sjk,Aeroporto de São José dos Campos-Professor Urbano Ernesto Stumpf,São José dos Campos SP Brazil,"Named after Urbano Ernesto Stumpf, aviator and innovator, São José dos Campos Airport gets its airport code from the city of São José dos Campos. The ‘K’ is a phonetic replacement for the ‘C’ in Campos."
906,sjo,Aeropuerto Internacional Juan Santamaría,San José Costa Rica,"Juan Santamaría International honors Juan Santamaría, national hero of Costa Rica who was killed in the Second Battle of Rivas in 1856. Its code comes from the city it serves, San JOsé"
907,sju,Aeropuerto Internacional Luis Muñoz Marín,San Juan Puerto Rico USA,"Luis Muñoz Marín International is named for Puerto Rico’s first democratically elected governor. Although actually located in Carolina, its airport code reflects the capital city of San Juan."
908,sjz,Aérodromo de São Jorge,São Jorge Azores Portugal,"São Jorge Airport is located in the town of Velas on the island of São Jorge. The ‘Z’ in its code could be from Azores, but is likely a filler letter."
909,skb,Robert L. Bradshaw International Airport,Basseterre Saint Kitts and Nevis,Robert L. Bradshaw International is named after the first Premier of Saint Kitts and Nevis. Its airport code comes from its location on the island of Saint Kitts in the city of Basseterre.
910,skg,"Thessaloniki International Airport, Macedonia",Thessaloniki Greece,"Opened in 1930, Thessaloniki International is often called Macedonia Airport. Its three-letter code comes from an alternate name for the city of Thessaloniki: Salonika, Greece."
911,skp,Aerodrom Skopje,Skopje  Macedonia,Skopje Airport is located in the village of Petrovec and serves the capital city of Skopje.
912,skz,Sukkur Airport,Sukkur SN Pakistan,"Sukkur Airport gets its three-letter code from its home in the city of Sukkur. It is completed by a ‘Z’, often used as a filler letter."
913,slc,Salt Lake City International Airport,Salt Lake City UT USA,"Originally named Woodward Field after local aviator John P. Woodward, Utah’s busiest airport now gets its name and airport code from state capital Salt Lake City."
914,slk,Adirondack Regional Airport,Saranac Lake NY USA,"Built during the 1940’s, Adirondack Regional was previously named Saranac Lake Airport and serves travelers to the Adirondack Mountains."
915,slm,Aeropuerto de Salamanca-Matacán,Salamanca Castile and León Spain,"Often called just Matacán Airport, this airport in Castile and León gets its three-letter code from its home in the province of Salamanca."
916,sln,Salina Regional Airport,Salina KS USA,"Salina Regional is located at the continental center of the United States, earning it the nickname “America’s Fuel Stop.” Its airport code honors its home in Salina."
917,slu,George F. L. Charles Airport,Castries Saint Lucia,"George F. L. Charles Airport is named after the country’s former Chief Minister. Serving the city of Castries, it gets its airport code from Saint Lucia."
918,slz,Aeroporto Internacional Marechal Cunha Machado,São Luís MA Brazil,"Formerly named Tirirical Airport, Marechal Cunha Machado International gets its airport code from its home in the city of São Luís, Brazil."
919,sma,Aeroporto de Santa Maria,Vila do Porto Azores Portugal,"Inaugurated in 1945, Santa Maria Airport is located on the island of Santa Maria and serves the city of Vila do Porto."
920,smf,Sacramento International Airport,Sacramento CA USA,"When Sacramento International was built, the airport code SAC was already taken by (then named) Sacramento Municipal Airport. So it took its code from its original name, Sacramento Metropolitan Field."
